Rank,Name,Price,Market Cap,FDV,Link
1,Bitcoin BTC,"$63,009",12446.58 亿美元,13231.89 亿美元,https://www.rootdata.com/zh/Projects/detail/Bitcoin?k=Mg%3D%3D
2,Ethereum ETH,"$2,552.02",3071.17 亿美元,3071.25 亿美元,https://www.rootdata.com/zh/Projects/detail/Ethereum?k=MTI%3D
3,Binance BNB,$579.54,844.48 亿美元,845.47 亿美元,https://www.rootdata.com/zh/Projects/detail/Binance?k=Mzg5NA%3D%3D
4,Solana SOL,$147.18,689.35 亿美元,860.88 亿美元,https://www.rootdata.com/zh/Projects/detail/Solana?k=MTE3
5,Ripple XRP,$0.5827,328.81 亿美元,582.64 亿美元,https://www.rootdata.com/zh/Projects/detail/Ripple?k=MTA%3D
6,Dogecoin DOGE,$0.1054,153.93 亿美元,153.91 亿美元,https://www.rootdata.com/zh/Projects/detail/Dogecoin?k=MTk%3D
7,Ton TON,$5.51,139.52 亿美元,281.67 亿美元,https://www.rootdata.com/zh/Projects/detail/The%20Open%20Network?k=OTkz
8,Cardano ADA,$0.3539,126.27 亿美元,159.27 亿美元,https://www.rootdata.com/zh/Projects/detail/Cardano?k=NTA%3D
9,Tron TRX,$0.1342,116.91 亿美元,116.91 亿美元,https://www.rootdata.com/zh/Projects/detail/Tron?k=MTE5
10,Avalanche AVAX,$27.2,110.46 亿美元,121.28 亿美元,https://www.rootdata.com/zh/Projects/detail/Avalanche?k=MjUw
11,Shiba Inu SHIB,$0.000014,83.94 亿美元,142.59 亿美元,https://www.rootdata.com/zh/Projects/detail/Shiba%20Inu?k=NjIw
12,Chainlink LINK,$11.33,71.04 亿美元,113.3 亿美元,https://www.rootdata.com/zh/Projects/detail/Chainlink?k=MTg1
13,Bitcoin Cash BCH,$335.36,66.28 亿美元,70.42 亿美元,https://www.rootdata.com/zh/Projects/detail/Bitcoin%20Cash?k=MjA0
14,Polkadot DOT,$4.33,61.28 亿美元,64.73 亿美元,https://www.rootdata.com/zh/Projects/detail/Polkadot?k=MTE4
15,Uniswap UNI,$6.74,50.8 亿美元,67.4 亿美元,https://www.rootdata.com/zh/Projects/detail/Uniswap?k=MjMz
16,Litecoin LTC,$65.6,49.14 亿美元,55.1 亿美元,https://www.rootdata.com/zh/Projects/detail/Litecoin?k=Ng%3D%3D
17,NEAR Protocol NEAR,$4.33,47.91 亿美元,51.23 亿美元,https://www.rootdata.com/zh/Projects/detail/NEAR%20Protocol?k=MjUx
18,Kaspa KAS,$0.1695,41.96 亿美元,41.93 亿美元,https://www.rootdata.com/zh/Projects/detail/Kaspa?k=NjAzOQ%3D%3D
19,Fetch.ai FET,$1.61,40.53 亿美元,42.35 亿美元,https://www.rootdata.com/zh/Projects/detail/Fetch.ai?k=MTUw
20,Sui / Mysten Labs SUI,$1.48,39.79 亿美元,148 亿美元,https://www.rootdata.com/zh/Projects/detail/Sui?k=Mjc5Nw%3D%3D
21,Internet Computer / Dfinity ICP,$8.39,39.43 亿美元,43.91 亿美元,https://www.rootdata.com/zh/Projects/detail/Internet%20Computer%20-%20Dfinity?k=NzM%3D
22,Aptos APT,$7.33,36.6 亿美元,81.85 亿美元,https://www.rootdata.com/zh/Projects/detail/Aptos?k=Mjc5NQ%3D%3D
23,PEPE PEPE,$0.0000081,34.15 亿美元,34.2 亿美元,https://www.rootdata.com/zh/Projects/detail/PEPE?k=NDE0Ng%3D%3D
24,Monero XMR,$177.33,32.7 亿美元,32.71 亿美元,https://www.rootdata.com/zh/Projects/detail/Monero?k=NDQ%3D
25,Bittensor TAO,$410.76,30.29 亿美元,86.25 亿美元,https://www.rootdata.com/zh/Projects/detail/Bittensor?k=NjUyOA%3D%3D
26,Stellar XLM,$0.096,28.6 亿美元,48.33 亿美元,https://www.rootdata.com/zh/Projects/detail/Stellar?k=Mjg%3D
27,Ethereum Classic ETC,$19.12,28.46 亿美元,40.29 亿美元,https://www.rootdata.com/zh/Projects/detail/Ethereum%20Classic?k=NzI%3D
28,Render RENDER,$5.23,27.1 亿美元,27.88 亿美元,https://www.rootdata.com/zh/Projects/detail/Render?k=ODY%3D
29,Stacks STX,$1.74,25.97 亿美元,31.63 亿美元,https://www.rootdata.com/zh/Projects/detail/Stacks?k=MTM%3D
30,Immutable X IMX,$1.54,24.78 亿美元,30.87 亿美元,https://www.rootdata.com/zh/Projects/detail/Immutable%20X?k=Mjkw
